2024-01-13,Switch,Super Mario RPG,US,900
2024-02-04,Switch,Super Mario Bros. Wonder,US,4500
2024-02-06,Switch,Super Mario RPG,US,2700
2024-02-09,Switch,Super Mario RPG,US,1800
2024-02-21,Switch,Super Mario Bros. Wonder,US,4500
2024-03-28,Switch,Super Mario RPG,US,5400
2024-04-01,Switch,Super Mario Bros. Wonder,US,2700
2024-04-07,Switch,Super Mario Bros. Wonder,US,5400
2024-05-02,Switch,Super Mario RPG,US,6300
2024-05-05,Switch,Super Mario Bros. Wonder,US,3600
2024-05-27,Switch,Paper Mario: The Thousand-Year Door,US,3600
2024-05-30,Switch,Paper Mario: The Thousand-Year Door,US,6300
2024-05-31,Switch,Paper Mario: The Thousand-Year Door,US,9000
2024-06-01,Switch,Paper Mario: The Thousand-Year Door,US,7200
2024-06-03,Switch,Paper Mario: The Thousand-Year Door,US,8100
2024-06-04,Switch,Paper Mario: The Thousand-Year Door,US,6300
2024-06-10,Switch,Paper Mario: The Thousand-Year Door,US,5400
2024-06-12,Switch,Paper Mario: The Thousand-Year Door,US,3600
2024-06-14,Switch,Paper Mario: The Thousand-Year Door,US,2700
2024-06-15,Switch,Paper Mario: The Thousand-Year Door,US,9000
2024-06-16,Switch,Super Mario Bros. Wonder,US,4500
2024-06-17,Switch,Paper Mario: The Thousand-Year Door,US,5400
2024-06-18,Switch,Paper Mario: The Thousand-Year Door,US,1800
2024-06-20,Switch,Paper Mario: The Thousand-Year Door,US,2700
2024-06-21,Switch,Paper Mario: The Thousand-Year Door,US,6300
2024-06-22,Switch,Paper Mario: The Thousand-Year Door,US,900
2025-06-07,Switch,Overcooked! 2,US,2700
2025-06-08,Switch,Pikmin 2,US,6300
2025-07-20,Switch,Mario Kart World,US,300
2025-07-21,Switch,Mario Kart World,US,300
2025-07-21,Switch,Pikmin 2,US,1800
2025-07-22,Switch,Pikmin 2,US,300
2025-07-28,Switch,Mario Kart World,US,2700
2025-08-05,Switch,Mario Kart World,US,8100
2025-08-11,Switch,Sonic Origins,US,300
2025-08-25,Switch,Sonic Origins,US,300
2025-09-28,Switch,Mario Kart World,US,2700
2025-09-29,Switch,Mario Kart World,US,900
2025-10-12,Switch,Mario Kart World,US,3600
2025-10-13,Switch,Super Mario Odyssey,US,4500
2025-10-14,Switch,Super Mario Odyssey,US,7200
2025-10-15,Switch,Super Mario Odyssey,US,3600
2025-10-17,Switch,Mario Kart World,US,2700
2025-10-17,Switch,Mario Kart World,US,900
2025-10-18,Switch,Super Mario Odyssey,US,900
2025-10-18,Switch,Mario Kart World,US,1800
2025-10-21,Switch,Super Mario Odyssey,US,900
2025-11-04,Switch,Mario Kart World,US,3600
2025-11-07,Switch,Kirby Air Riders,US,2700
2025-11-07,Switch,Mario Kart World,US,7200
2025-11-08,Switch,Mario Kart World,US,300
2025-11-10,Switch,Pikmin 4,US,3600
2025-11-12,Switch,Kirby Air Riders,US,300
2025-11-12,Switch,Pikmin 4,US,300
2025-11-17,Switch,Mario Kart World,US,5400
2025-11-19,Switch,Kirby Air Riders,US,4500
